geo,latitude,longitude,name,un_state,world_4region
sxm,18.04167,-63.06667,Sint Maarten (Dutch part),FALSE,americas
syc,-4.58333,55.66667,Seychelles,TRUE,africa
syr,35.0,38.0,Syria,TRUE,asia
tca,21.73333,-71.58333,Turks and Caicos Islands,FALSE,americas
tcd,15.0,19.0,Chad,TRUE,africa
tgo,8.66667,1.08333,Togo,TRUE,africa
tha,15.5,101.0,Thailand,TRUE,asia
tjk,39.0,71.0,Tajikistan,TRUE,asia
tkl,-9.167,-171.83,Tokelau,FALSE,asia
tkm,39.75,59.66667,Turkmenistan,TRUE,asia
tls,-8.83333,125.75,Timor-Leste,TRUE,asia
ton,-20.0,-175.0,Tonga,TRUE,asia
transn,,,Transnistria,FALSE,europe
tto,11.0,-61.0,Trinidad and Tobago,TRUE,americas
tun,34.0,9.0,Tunisia,TRUE,africa
tur,39.0,35.0,Turkey,TRUE,europe
tuv,-8.51719,179.14478,Tuvalu,TRUE,asia
twn,24.0,121.0,Taiwan,FALSE,asia
tza,-6.0,35.0,Tanzania,TRUE,africa
uga,1.25,32.5,Uganda,TRUE,africa
ukr,49.0,32.0,Ukraine,TRUE,europe
ury,-33.0,-56.0,Uruguay,TRUE,americas
usa,39.76,-98.5,United States,TRUE,americas
usa_minor_out_isl,,,US Minor Outlying Islands,FALSE,americas
ussr,,,USSR,FALSE,europe
uzb,41.66667,63.83333,Uzbekistan,TRUE,asia
vct,13.08333,-61.2,St. Vincent and the Grenadines,TRUE,americas
ven,8.0,-66.0,Venezuela,TRUE,americas
vgb,18.5,-64.5,British Virgin Islands,FALSE,americas
vir,18.34829,-64.98348,Virgin Islands (U.S.),FALSE,americas
vnm,16.16667,107.83333,Vietnam,TRUE,asia
vut,-16.0,167.0,Vanuatu,TRUE,asia
wlf,-13.3,-176.2,Wallis et Futuna,FALSE,asia
wsm,-13.8,-172.13333,Samoa,TRUE,asia
yem,15.5,47.5,Yemen,TRUE,asia
yem_north,,,North Yemen (former),FALSE,asia
yem_south,,,South Yemen (former),FALSE,asia
yug,,,Yugoslavia,FALSE,europe
zaf,-29.0,24.0,South Africa,TRUE,africa
zmb,-14.33333,28.5,Zambia,TRUE,africa
zwe,-19.0,29.75,Zimbabwe,TRUE,africa
