asylum_residence,time,displaced_population
cyp,2001,1943
cyp,2002,2216
cyp,2003,5431
cyp,2004,10559
cyp,2005,13769
cyp,2006,13432
cyp,2007,13087
cyp,2008,9479
cyp,2009,7903
cyp,2010,8790
cyp,2011,6562
cyp,2012,6267
cyp,2013,6534
cyp,2014,7603
cyp,2015,15319
cyp,2016,17572
cyp,2017,20992
cyp,2018,27221
cze,1991,691
cze,1992,9399
cze,1993,196
cze,1994,1186
cze,1995,2655
cze,1996,2555
cze,1997,5231
cze,1998,5548
cze,1999,4403
cze,2000,6310
cze,2001,12827
cze,2002,9122
cze,2003,5270
cze,2004,2744
cze,2005,2726
cze,2006,4765
cze,2007,4223
cze,2008,3560
cze,2009,3590
cze,2010,3515
cze,2011,3358
cze,2012,4882
cze,2013,4798
cze,2014,5119
cze,2015,5807
cze,2016,5921
cze,2017,5885
cze,2018,5523
deu,1951,265000
deu,1952,240000
deu,1953,228000
deu,1954,225000
deu,1955,219000
deu,1956,221000
deu,1957,217000
deu,1958,212000
deu,1959,205000
deu,1960,197000
deu,1961,190000
deu,1962,185000
deu,1963,182000
deu,1964,180000
deu,1965,180000
deu,1966,140000
deu,1967,112000
deu,1968,110000
deu,1969,113000
deu,1970,115000
deu,1971,125000
deu,1972,125000
deu,1973,125000
deu,1974,123000
deu,1975,122000
deu,1976,122000
deu,1977,120000
deu,1978,83500
deu,1979,87000
deu,1980,94000
deu,1981,100000
deu,1982,100000
deu,1983,115000
deu,1984,126600
deu,1985,475000
deu,1986,547900
deu,1987,596200
deu,1988,610200
deu,1989,628500
deu,1990,816000
deu,1991,821500
deu,1992,1236000
deu,1993,1418000
deu,1994,1354600
deu,1995,1267973
deu,1996,1296000
deu,1997,1144930
deu,1998,1047251
deu,1999,1017283
deu,2000,1045611
deu,2001,999241
deu,2002,1151473
deu,2003,1093944
deu,2004,976665
deu,2005,783980
deu,2006,671372
deu,2007,622261
deu,2008,648079
deu,2009,659659
deu,2010,670638
deu,2011,659820
deu,2012,682000
deu,2013,335562
deu,2014,455440
deu,2015,749487
deu,2016,1268845
deu,2017,1413044
deu,2018,1447780
dji,1977,8000
dji,1978,20000
dji,1979,28800
dji,1980,45310
dji,1981,50900
dji,1982,34200
dji,1983,34310
dji,1984,31030
dji,1985,17280
dji,1986,17150
dji,1987,16730
dji,1988,6502
dji,1989,31869
dji,1990,77606
dji,1991,98974
dji,1992,31180
dji,1993,34314
dji,1994,43532
dji,1995,51246
dji,1996,29282
dji,1997,23813
dji,1998,24858
dji,1999,23599
dji,2000,26503
dji,2001,23810
dji,2002,24285
dji,2003,28941
dji,2004,26483
dji,2005,18143
dji,2006,10522
dji,2007,8993
dji,2008,9661
dji,2009,13032
dji,2010,15843
dji,2011,22248
dji,2012,22234
dji,2013,23856
dji,2014,24362
dji,2015,22006
dji,2016,25930
dji,2017,26991
dji,2018,28752
dnk,1951,2000
dnk,1952,1800
dnk,1953,1600
dnk,1954,1400
dnk,1955,1300
dnk,1956,2500
dnk,1957,2500
dnk,1958,2500
dnk,1959,2400
dnk,1960,2300
dnk,1961,2200
dnk,1962,2200
dnk,1963,2200
dnk,1970,2000
dnk,1971,4400
dnk,1972,3687
dnk,1973,3687
dnk,1974,2900
dnk,1975,2125
dnk,1976,2100
dnk,1977,1764
dnk,1978,1800
dnk,1979,1800
dnk,1980,1800
dnk,1981,1800
dnk,1982,1800
dnk,1983,3600
dnk,1984,8500
dnk,1985,8500
dnk,1986,23000
dnk,1987,30000
dnk,1988,27310
dnk,1989,30747
dnk,1990,32906
dnk,1991,36110
dnk,1992,39118
dnk,1993,44564
dnk,1994,49558
dnk,1995,64844
dnk,1996,67105
dnk,1997,68443
dnk,1998,69202
dnk,1999,70337
dnk,2000,78345
dnk,2001,79250
dnk,2002,79124
dnk,2003,72373
dnk,2004,66294
dnk,2005,45457
dnk,2006,38104
dnk,2007,28189
dnk,2008,27666
dnk,2009,25177
dnk,2010,24523
dnk,2011,18712
dnk,2012,17706
dnk,2013,19383
dnk,2014,26840
dnk,2015,36863
dnk,2016,47456
dnk,2017,47845
dnk,2018,47449
dom,1970,1000
dom,1971,1000
dom,1972,1100
dom,1974,1000
dom,1977,500
dom,1978,300
dom,1979,3300
dom,1980,3800
dom,1981,5000
dom,1982,5000
dom,1983,5000
dom,1984,5130
dom,1985,6000
dom,1986,6000
dom,1987,7070
dom,1988,5356
dom,1989,3810
dom,1990,2116
dom,1991,1971
dom,1992,2030
dom,1993,1340
dom,1994,1972
dom,1995,1529
dom,1996,1000
dom,1997,638
dom,1998,614
dom,1999,625
dom,2000,535
dom,2010,2358
dom,2011,2380
dom,2012,1525
dom,2013,211549
dom,2014,211354
dom,2015,135143
dom,2016,1388
dom,2017,1432
dom,2018,26919
dza,1970,500
dza,1975,21000
dza,1976,39580
dza,1977,52000
dza,1978,52000
dza,1979,52000
dza,1980,52000
dza,1981,167000
dza,1982,167000
dza,1983,167000
dza,1984,167000
dza,1985,174160
dza,1986,167220
dza,1987,167000
dza,1988,170000
dza,1989,246973
dza,1990,169110
dza,1991,169174
dza,1992,219384
dza,1993,219067
dza,1994,219073
dza,1995,214594
dza,1996,192490
dza,1997,173148
dza,1998,189970
dza,1999,165290
dza,2000,169969
dza,2001,169531
dza,2002,169239
dza,2003,169036
dza,2004,169054
dza,2005,94407
dza,2006,95121
dza,2007,95734
dza,2008,94991
dza,2009,94290
dza,2010,94448
dza,2011,94964
dza,2012,95876
dza,2013,96894
dza,2014,101381
dza,2015,101634
dza,2016,100987
dza,2017,100583
dza,2018,103227
ecu,1972,200
ecu,1974,200
ecu,1977,200
ecu,1979,600
ecu,1980,700
ecu,1981,640
ecu,1982,680
ecu,1983,770
ecu,1984,930
ecu,1985,1030
ecu,1986,870
ecu,1987,710
ecu,1988,805
ecu,1989,757
ecu,1990,670
ecu,1991,540
ecu,1992,354
ecu,1993,401
ecu,1994,310
ecu,1995,212
ecu,1996,216
ecu,1997,227
ecu,1998,249
ecu,1999,1521
ecu,2000,1789
ecu,2001,4307
ecu,2002,5893
ecu,2003,8950
ecu,2004,10113
ecu,2005,262553
ecu,2006,267310
ecu,2007,292324
ecu,2008,135317
ecu,2009,167189
ecu,2010,171136
ecu,2011,145012
ecu,2012,138397
ecu,2013,134793
ecu,2014,133749
ecu,2015,133128
ecu,2016,127436
ecu,2017,145221
ecu,2018,374719
egy,1964,470
egy,1965,5000
egy,1969,4800
egy,1970,5000
egy,1971,5020
egy,1972,7370
egy,1973,2600
egy,1974,4000
egy,1975,4000
egy,1976,4000
egy,1977,4560
egy,1978,5000
egy,1979,4850
egy,1980,1440
egy,1981,1580
egy,1982,5500
egy,1983,35000
egy,1984,5500
egy,1985,1090
egy,1986,1080
egy,1987,1150
egy,1988,1620
egy,1989,1740
egy,1990,2041
egy,1991,2245
egy,1992,5779
egy,1993,6712
egy,1994,7264
egy,1995,5412
egy,1996,6486
egy,1997,6498
egy,1998,6302
egy,1999,6559
egy,2000,18038
egy,2001,22900
egy,2002,92778
egy,2003,94230
egy,2004,99250
egy,2005,100154
egy,2006,105407
egy,2007,114137
egy,2008,114782
egy,2009,110395
egy,2010,109929
egy,2011,116004
egy,2012,128672
egy,2013,254142
egy,2014,261888
egy,2015,250780
egy,2016,263434
egy,2017,289174
egy,2018,314856
eri,1993,3
eri,1994,709
eri,1995,1083
eri,1996,2107
eri,1997,2606
eri,1998,2501
eri,1999,2972
eri,2000,1101999
eri,2001,3749
eri,2002,3724
eri,2003,4089
eri,2004,4707
eri,2005,6040
eri,2006,6680
eri,2007,7067
eri,2008,4993
eri,2009,4885
eri,2010,4959
eri,2011,4726
eri,2012,3679
eri,2013,3248
eri,2014,2932
eri,2015,2589
eri,2016,2366
eri,2017,2879
eri,2018,2570
esp,1951,2000
esp,1954,2000
esp,1961,2000
esp,1962,2000
esp,1963,2000
esp,1964,14000
esp,1965,14000
esp,1966,17000
esp,1967,20000
esp,1968,20000
esp,1969,23000
esp,1970,29500
esp,1971,38000
esp,1972,40000
esp,1973,26000
esp,1974,18000
esp,1975,16000
esp,1976,16500
esp,1977,15000
esp,1978,15000
esp,1979,26000
esp,1980,21500
esp,1981,21500
esp,1982,23500
esp,1983,23700
esp,1984,9900
esp,1985,9300
esp,1986,10200
esp,1987,9200
esp,1988,8691
esp,1989,8676
esp,1990,8303
esp,1991,4003
esp,1992,4036
esp,1993,5002
esp,1994,5412
esp,1995,5864
esp,1996,5704
esp,1997,5535
esp,1998,5940
esp,1999,7743
esp,2000,7043
esp,2001,6806
esp,2002,6794
esp,2003,5914
esp,2004,5703
esp,2005,5401
esp,2006,5311
esp,2007,5167
esp,2008,4691
esp,2009,7281
esp,2010,6563
esp,2011,6935
esp,2012,7337
esp,2013,9251
esp,2014,13593
esp,2015,17917
esp,2016,34360
esp,2017,53954
esp,2018,101557
est,2000,22
est,2001,31
est,2002,17
est,2003,15
est,2004,150556
est,2005,136015
est,2006,119217
est,2007,116272
est,2008,110344
est,2009,104856
est,2010,101032
est,2011,97808
est,2012,94305
est,2013,91376
est,2014,88261
est,2015,85555
est,2016,82950
est,2017,80740
est,2018,78191
eth,1968,20000
eth,1969,20300
eth,1970,21000
eth,1971,22730
eth,1972,31860
eth,1973,19270
eth,1974,6290
eth,1975,11150
eth,1976,10690
eth,1977,10940
eth,1978,10930
eth,1979,10930
eth,1980,10930
eth,1981,5450
eth,1982,5550
eth,1983,31370
eth,1984,180480
eth,1985,180400
eth,1986,132400
eth,1987,310550
eth,1988,680852
eth,1989,710166
eth,1990,812394
eth,1991,899620
eth,1992,431824
eth,1993,272631
eth,1994,348074
eth,1995,393482
eth,1996,390528
eth,1997,373097
eth,1998,310042
eth,1999,280679
eth,2000,246329
eth,2001,203234
eth,2002,162819
eth,2003,139529
eth,2004,125579
eth,2005,105136
eth,2006,103251
eth,2007,108365
eth,2008,95619
eth,2009,125367
eth,2010,155370
eth,2011,290460
eth,2012,378732
eth,2013,440357
eth,2014,664774
eth,2015,739151
eth,2016,794132
eth,2017,1970950
eth,2018,3521610
fin,1984,500
fin,1985,500
fin,1986,500
fin,1987,800
fin,1988,1065
fin,1989,2000
fin,1990,2348
fin,1991,4561
fin,1992,5950
fin,1993,8511
fin,1994,9511
fin,1995,10191
fin,1996,11434
fin,1997,12032
fin,1998,12303
fin,1999,13285
fin,2000,14853
fin,2001,12762
fin,2002,12663
fin,2003,11002
fin,2004,11401
fin,2005,12658
fin,2006,13084
fin,2007,7003
fin,2008,10766
fin,2009,13651
fin,2010,13954
fin,2011,15209
fin,2012,13903
fin,2013,14906
fin,2014,15882
fin,2015,39516
fin,2016,26672
fin,2017,26590
fin,2018,28174
fji,1995,9
fji,1996,9
fji,2006,2
fji,2007,1
fji,2008,6
fji,2009,6
fji,2010,7
fji,2011,8
fji,2012,13
fji,2013,14
fji,2014,24
fji,2015,20
fji,2016,14
fji,2017,15
fji,2018,7
fra,1951,290000
fra,1952,280000
fra,1953,270000
fra,1954,263000
fra,1955,345415
fra,1956,363290
fra,1957,389480
fra,1958,381152
fra,1959,387201
fra,1960,245935
fra,1961,253375
fra,1962,259740
fra,1963,174057
fra,1964,175861
fra,1965,177665
fra,1966,179468
fra,1967,177200
fra,1968,176736
fra,1969,175242
fra,1970,158543
fra,1971,141844
fra,1972,98900
fra,1973,101830
fra,1974,105538
fra,1975,109882
fra,1976,114634
fra,1977,119413
fra,1978,126229
fra,1979,119489
fra,1980,121958
fra,1981,125597
fra,1982,152223
fra,1983,164113
fra,1984,169863
fra,1985,174213
fra,1986,180258
fra,1987,179306
fra,1988,183946
fra,1989,180263
fra,1990,193001
fra,1991,174770
fra,1992,156614
fra,1993,166368
fra,1994,195511
fra,1995,155261
fra,1996,151685
fra,1997,146565
fra,1998,140228
fra,1999,132293
fra,2000,133039
fra,2001,166161
fra,2002,166976
fra,2003,153852
fra,2004,199981
fra,2005,179541
fra,2006,184124
fra,2007,185124
fra,2008,203830
fra,2009,238084
fra,2010,250434
fra,2011,260641
fra,2012,268966
fra,2013,285468
fra,2014,309519
fra,2015,337616
fra,2016,368687
fra,2017,401665
fra,2018,458833
fsm,2006,2
fsm,2007,2
fsm,2008,1
fsm,2009,1
fsm,2015,14
fsm,2016,4
gab,1969,4500
gab,1975,60000
gab,1976,60000
gab,1977,90000
gab,1978,60200
gab,1979,60200
gab,1980,30000
gab,1981,400
gab,1982,640
gab,1986,100
gab,1990,417
gab,1991,220
gab,1992,272
gab,1993,82
gab,1994,604
gab,1995,792
gab,1996,803
gab,1997,2862
gab,1998,1131
gab,1999,15070
gab,2000,21024
gab,2001,19504
gab,2002,19443
gab,2003,20182
gab,2004,19375
gab,2005,13679
gab,2006,12640
gab,2007,13217
gab,2008,13317
gab,2009,13188
gab,2010,13231
gab,2011,13501
gab,2012,4421
gab,2013,4036
gab,2014,2907
gab,2015,2915
gab,2016,2840
gab,2017,825
gab,2018,748
gbr,1951,208000
gbr,1952,200000
gbr,1953,192000
gbr,1954,182000
gbr,1955,175000
gbr,1956,182000
gbr,1957,179000
gbr,1958,175000
gbr,1959,170000
gbr,1960,167000
gbr,1961,164000
gbr,1962,160000
gbr,1963,157000
gbr,1964,160000
gbr,1965,170000
gbr,1966,167000
gbr,1967,164000
gbr,1968,161000
gbr,1969,162000
gbr,1970,162000
gbr,1971,150000
gbr,1972,150000
gbr,1973,150000
gbr,1974,155500
gbr,1975,153000
gbr,1976,153000
gbr,1977,148000
gbr,1978,150000
gbr,1979,146000
gbr,1980,148000
gbr,1981,146000
gbr,1982,143000
gbr,1983,140000
gbr,1984,135000
gbr,1985,135000
gbr,1986,100000
gbr,1987,100000
gbr,1988,39759
gbr,1989,46017
gbr,1990,43632
gbr,1991,43371
gbr,1992,64960
gbr,1993,80323
gbr,1994,85263
gbr,1995,90918
gbr,1996,98807
gbr,1997,108204
gbr,1998,121732
gbr,1999,150354
gbr,2000,276534
gbr,2001,273131
gbr,2002,303793
gbr,2003,301655
gbr,2004,308977
gbr,2005,316590
gbr,2006,315032
gbr,2007,311173
gbr,2008,306288
gbr,2009,282471
gbr,2010,253259
gbr,2011,211461
gbr,2012,169764
gbr,2013,151840
gbr,2014,154371
gbr,2015,169366
gbr,2016,162576
gbr,2017,162179
gbr,2018,171912
geo,1993,260000
geo,1994,280311
geo,1995,272500
geo,1996,272454
geo,1997,273548
geo,1998,277026
geo,1999,284411
geo,2000,280105
geo,2001,272154
geo,2002,265809
geo,2003,264488
geo,2004,240077
geo,2005,238602
geo,2006,309789
geo,2007,275618
geo,2008,435264
geo,2009,360501
geo,2010,362230
geo,2011,276088
geo,2012,281870
geo,2013,259574
geo,2014,265588
geo,2015,271755
geo,2016,276782
geo,2017,281271
geo,2018,285571
gha,1969,20000
gha,1971,70
gha,1975,130
gha,1976,180
gha,1977,170
gha,1978,70
gha,1979,300
gha,1982,100
gha,1983,90
gha,1984,90
gha,1985,120
gha,1986,160
gha,1987,150
gha,1988,140
gha,1989,130
gha,1990,8123
gha,1991,10158
gha,1992,12114
gha,1993,150100
gha,1994,322769
gha,1995,115399
gha,1996,86610
gha,1997,32578
gha,1998,17590
gha,1999,13612
gha,2000,13164
gha,2001,14189
gha,2002,42318
gha,2003,48112
gha,2004,50019
gha,2005,60245
gha,2006,60889
gha,2007,51375
gha,2008,31802
gha,2009,15108
gha,2010,14761
gha,2011,26699
gha,2012,23488
gha,2013,20611
gha,2014,21126
gha,2015,19307
gha,2016,13297
gha,2017,13450
gha,2018,13183
gin,1990,325000
gin,1991,547960
gin,1992,561981
gin,1993,586991
gin,1994,554162
gin,1995,678783
gin,1996,663855
gin,1997,448294
gin,1998,733258
gin,1999,572956
gin,2000,475125
gin,2001,257116
gin,2002,223367
gin,2003,216602
gin,2004,180193
gin,2005,96978
gin,2006,89610
gin,2007,35599
gin,2008,22594
gin,2009,16405
gin,2010,14994
gin,2011,17273
gin,2012,16463
gin,2013,9272
gin,2014,9052
gin,2015,9037
gin,2016,5424
gin,2017,5268
gin,2018,5857
gmb,1975,1240
gmb,1990,78
gmb,1991,241
gmb,1992,3682
gmb,1993,2190
gmb,1994,2206
gmb,1995,6599
gmb,1996,7232
gmb,1997,7279
gmb,1998,10970
gmb,1999,17546
gmb,2000,12240
gmb,2001,10357
gmb,2002,12120
gmb,2003,7610
gmb,2004,8302
gmb,2005,7974
gmb,2006,14409
gmb,2007,14963
gmb,2008,15096
gmb,2009,12523
gmb,2010,8483
gmb,2011,9558
gmb,2012,10185
gmb,2013,9807
gmb,2014,11609
gmb,2015,7854
gmb,2016,7948
gmb,2017,8076
gmb,2018,4361
gnb,1981,110
gnb,1990,3004
gnb,1991,4631
gnb,1992,12873
gnb,1993,21833
gnb,1994,23909
gnb,1995,15350
gnb,1996,15406
gnb,1997,15982
gnb,1998,202154
gnb,1999,222452
gnb,2000,7650
gnb,2001,8177
gnb,2002,7711
gnb,2003,7739
gnb,2004,7707
gnb,2005,7782
gnb,2006,8144
gnb,2007,8230
gnb,2008,8213
gnb,2009,8193
gnb,2010,8014
gnb,2011,7891
gnb,2012,7897
gnb,2013,8644
gnb,2014,8810
gnb,2015,8807
gnb,2016,9295
gnb,2017,11207
gnb,2018,4859
gnq,1968,40000
grc,1951,18000
grc,1952,19000
grc,1953,18500
grc,1954,19000
grc,1955,17400
grc,1956,16000
grc,1957,16000
grc,1958,15700
grc,1959,15500
grc,1960,15500
grc,1961,15200
grc,1962,15700
grc,1963,15400
grc,1964,16000
grc,1965,15560
grc,1966,15300
grc,1967,12270
grc,1968,8260
grc,1969,6330
grc,1970,5710
grc,1971,5780
grc,1972,3350
grc,1973,2940
grc,1974,2710
grc,1975,2600
grc,1976,2560
grc,1977,2610
grc,1978,2520
grc,1979,3770
grc,1980,3750
grc,1981,3990
grc,1982,4180
grc,1983,4090
grc,1984,4320
grc,1985,4890
grc,1986,3280
grc,1987,4630
grc,1988,8262
grc,1989,7560
grc,1990,8788
grc,1991,9169
grc,1992,8456
grc,1993,7873
grc,1994,7793
grc,1995,4438
grc,1996,5823
grc,1997,5520
grc,1998,6145
grc,1999,6286
grc,2000,9032
grc,2001,13197
grc,2002,4593
grc,2003,10027
grc,2004,12864
grc,2005,14257
grc,2006,18970
grc,2007,30838
grc,2008,40539
grc,2009,50156
grc,2010,57428
grc,2011,45810
grc,2012,38527
grc,2013,73027
grc,2014,42879
grc,2015,51625
grc,2016,86611
grc,2017,83340
grc,2018,137666
grd,2010,3
grd,2011,3
grd,2015,1
grd,2016,1
gtm,1972,160
gtm,1980,4190
gtm,1981,100000
gtm,1982,70000
gtm,1983,70000
gtm,1984,70000
gtm,1985,12000
gtm,1986,12000
gtm,1987,12000
gtm,1988,223100
gtm,1989,223100
gtm,1990,224557
gtm,1991,223676
gtm,1992,223159
gtm,1993,4792
gtm,1994,12712
gtm,1995,15207
gtm,1996,12818
gtm,1997,3212
gtm,1998,893
gtm,1999,815
gtm,2000,758
gtm,2001,749
gtm,2002,745
gtm,2003,721
gtm,2004,661
gtm,2005,394
gtm,2006,386
gtm,2007,381
gtm,2008,135
gtm,2009,135
gtm,2010,140
gtm,2011,157
gtm,2012,162
gtm,2013,175
gtm,2014,277
gtm,2015,3851
gtm,2016,24202
gtm,2017,62588
gtm,2018,111231
guf,1989,6601
guf,1990,6601
guf,1991,6532
guf,1992,6247
guf,1993,11
guf,1994,11
guy,1972,100
guy,1974,200
guy,1997,1
guy,2010,7
guy,2011,8
guy,2012,7
guy,2013,11
guy,2014,12
guy,2015,12
guy,2016,11
guy,2017,11
guy,2018,36427
hkg,1951,30000
hkg,1954,22000
hkg,1964,1120000
hkg,1965,1251200
hkg,1966,1250040
hkg,1970,1000
hkg,1971,1000
hkg,1972,50
hkg,1978,63410
hkg,1979,56460
hkg,1980,30520
hkg,1981,13540
hkg,1982,12620
hkg,1983,12770
hkg,1984,11960
hkg,1985,9400
hkg,1986,8000
hkg,1987,9530
hkg,1988,15359
hkg,1989,12896
hkg,1990,13623
hkg,1991,12080
hkg,1992,14938
hkg,1993,14149
hkg,1994,7639
hkg,1995,3154
hkg,1996,15970
hkg,1997,6341
hkg,1998,1097
hkg,1999,1053
hkg,2000,1082
hkg,2001,1897
hkg,2002,1722
hkg,2003,2099
hkg,2004,2539
hkg,2005,3031
hkg,2006,4347
hkg,2007,2021
hkg,2008,1217
hkg,2009,877
hkg,2010,643
hkg,2011,751
hkg,2012,954
hkg,2013,2000
hkg,2014,2420
hkg,2015,2450
hkg,2016,110
hkg,2017,80
hkg,2018,118
hnd,1972,70
hnd,1978,15000
hnd,1979,51160
hnd,1980,25000
hnd,1981,28000
hnd,1982,32170
hnd,1983,40150
hnd,1984,51460
hnd,1985,60000
hnd,1986,68000
hnd,1987,75550
hnd,1988,249660
hnd,1989,241898
hnd,1990,272470
hnd,1991,103061
hnd,1992,101958
hnd,1993,76
hnd,1994,107
hnd,1995,107
hnd,1996,63
hnd,1997,50
hnd,1998,9
hnd,1999,10
hnd,2000,18
hnd,2001,24
hnd,2002,34
hnd,2003,23
hnd,2004,44
hnd,2005,72
hnd,2006,22
hnd,2007,43
hnd,2008,25
hnd,2009,21
hnd,2010,15
hnd,2011,17
hnd,2012,17
hnd,2013,39
hnd,2014,42
hnd,2015,179144
hnd,2016,178826
hnd,2017,177232
hnd,2018,179278
hrv,1992,403000
hrv,1993,631000
hrv,1994,490600
hrv,1995,396847
hrv,1996,332403
hrv,1997,153505
hrv,1998,130050
hrv,1999,107184
hrv,2000,75501
hrv,2001,59524
hrv,2002,36349
hrv,2003,23907
hrv,2004,16736
hrv,2005,10867
hrv,2006,7740
hrv,2007,5761
hrv,2008,32833
hrv,2009,27664
hrv,2010,25480
hrv,2011,23944
hrv,2012,23998
hrv,2013,19875
hrv,2014,19593
hrv,2015,17538
hrv,2016,18252
hrv,2017,11788
hrv,2018,8217
hti,1999,1
hti,2000,6
hti,2007,2
hti,2008,3
hti,2009,15
hti,2010,4
hti,2011,6
hti,2012,12
hti,2013,13
hti,2014,5
hti,2015,991
hti,2016,2312
hti,2017,2302
hti,2018,2997
hun,1989,27000
hun,1990,45123
hun,1991,81488
hun,1992,32412
hun,1993,3033
hun,1994,2906
hun,1995,11398
hun,1996,11911
hun,1997,7319
hun,1998,3507
hun,1999,5462
hun,2000,6779
hun,2001,7128
hun,2002,7310
hun,2003,7857
hun,2004,8084
hun,2005,8922
hun,2006,8768
hun,2007,9967
hun,2008,10532
hun,2009,7006
hun,2010,5843
hun,2011,5555
hun,2012,4551
hun,2013,4439
hun,2014,18675
hun,2015,41218
hun,2016,8296
hun,2017,6431
hun,2018,6243
idn,1978,2240
idn,1979,32330
idn,1980,45880
idn,1981,14900
idn,1982,13220
idn,1983,10070
idn,1984,9500
idn,1985,8230
idn,1986,4020
idn,1987,2450
idn,1988,2434
idn,1989,998
idn,1990,3567
idn,1991,4466
idn,1992,4532
idn,1993,3836
idn,1994,2197
idn,1995,2238
idn,1996,4926
idn,1997,43
idn,1998,50
idn,1999,290036
idn,2000,170807
idn,2001,92543
idn,2002,60715
idn,2003,16998
idn,2004,17076
idn,2005,410
idn,2006,578
idn,2007,560
idn,2008,753
idn,2009,2582
idn,2010,2894
idn,2011,4245
idn,2012,7949
idn,2013,10316
idn,2014,12146
idn,2015,14180
idn,2016,14440
idn,2017,13801
idn,2018,13965
ind,1964,44000
ind,1965,45000
ind,1966,45000
ind,1967,50000
ind,1968,55000
ind,1969,56150
ind,1970,56500
ind,1971,56180
ind,1972,57680
ind,1973,58840
ind,1974,59900
ind,1981,3510
ind,1982,5600
ind,1983,7430
ind,1984,8690
ind,1985,8220
ind,1986,7890
ind,1987,6720
ind,1988,7825
ind,1989,10890
ind,1990,215093
ind,1991,214031
ind,1992,287828
ind,1993,264791
ind,1994,266488
ind,1995,238141
ind,1996,235301
ind,1997,239613
ind,1998,199109
ind,1999,180189
ind,2000,171052
ind,2001,169802
ind,2002,170913
ind,2003,170013
ind,2004,173029
ind,2005,142378
ind,2006,159492
ind,2007,165971
ind,2008,190070
ind,2009,192263
ind,2010,193676
ind,2011,191041
ind,2012,190771
ind,2013,193095
ind,2014,205720
ind,2015,208821
ind,2016,208257
ind,2017,207631
ind,2018,207783
irl,1984,500
irl,1985,600
irl,1986,600
irl,1987,540
irl,1988,480
irl,1989,420
irl,1990,360
irl,1991,300
irl,1992,500
irl,1993,121
irl,1994,420
irl,1995,400
irl,1996,155
irl,1997,431
irl,1998,608
irl,1999,3046
irl,2000,15568
irl,2001,14445
irl,2002,12378
irl,2003,13377
irl,2004,10242
irl,2005,9531
irl,2006,11346
irl,2007,13735
irl,2008,14344
irl,2009,12329
irl,2010,14237
irl,2011,13687
irl,2012,11871
irl,2013,11581
irl,2014,10578
irl,2015,11280
irl,2016,10152
irl,2017,12469
irl,2018,13192
irn,1962,2000
irn,1963,1500
irn,1968,300
irn,1969,300
irn,1979,130100
irn,1980,330000
irn,1981,1565000
irn,1982,1700060
irn,1983,1900060
irn,1984,2000000
irn,1985,2300000
irn,1986,2590000
irn,1987,2760000
irn,1988,2894000
irn,1989,2850000
irn,1990,4174401
irn,1991,5738855
irn,1992,4367323
irn,1993,2495038
irn,1994,2465309
irn,1995,2283741
irn,1996,2137059
irn,1997,1994991
irn,1998,1960934
irn,1999,2017375
irn,2000,2099434
irn,2001,1887727
irn,2002,1683992
irn,2003,1304812
irn,2004,1692219
irn,2005,1319356
irn,2006,1213037
irn,2007,972434
irn,2008,988962
irn,2009,1083994
irn,2010,1085309
irn,2011,923779
irn,2012,890149
irn,2013,869683
irn,2014,986862
irn,2015,983631
irn,2016,981952
irn,2017,979525
irn,2018,979476
irq,1979,400
irq,1980,400
irq,1981,1200
irq,1982,1200
irq,1983,1200
irq,1984,1200
irq,1985,83200
irq,1986,111000
irq,1987,1000
irq,1990,900
irq,1991,88060
irq,1992,117600
irq,1993,109066
irq,1994,119895
irq,1995,116814
irq,1996,148510
irq,1997,140258
irq,1998,104656
irq,1999,129023
irq,2000,129056
irq,2001,128576
irq,2002,135802
irq,2003,50993
irq,2004,48269
irq,2005,1578229
irq,2006,2161064
irq,2007,2596825
irq,2008,3114803
irq,2009,1988787
irq,2010,1796331
irq,2011,1685377
irq,2012,1574349
irq,2013,1389687
irq,2014,4015955
irq,2015,4740388
irq,2016,5326009
irq,2017,4501761
irq,2018,3092380
isl,1990,85
isl,1991,141
isl,1992,154
isl,1993,160
isl,1994,160
isl,1995,197
isl,1996,232
isl,1997,260
isl,1998,294
isl,1999,285
isl,2000,261
isl,2001,231
isl,2002,230
isl,2003,252
isl,2004,258
isl,2005,375
isl,2006,298
isl,2007,85
isl,2008,213
isl,2009,219
isl,2010,235
isl,2011,245
isl,2012,297
isl,2013,477
isl,2014,428
isl,2015,471
isl,2016,471
isl,2017,723
isl,2018,986
isr,1998,30
isr,1999,351
isr,2000,6063
isr,2001,4731
isr,2002,4921
isr,2003,4883
isr,2004,574
isr,2005,1548
isr,2006,1765
isr,2007,6918
isr,2008,14870
isr,2009,21880
isr,2010,31055
isr,2011,47805
isr,2012,54544
isr,2013,52975
isr,2014,45284
isr,2015,44665
isr,2016,44665
isr,2017,55381
isr,2018,54080
ita,1951,26500
ita,1952,25500
ita,1953,24500
ita,1954,21500
ita,1955,18500
ita,1956,21500
ita,1957,21000
ita,1958,21000
ita,1959,18500
ita,1960,15500
ita,1961,14500
ita,1962,14300
ita,1963,14600
ita,1964,14000
ita,1965,15000
ita,1966,14000
ita,1967,13000
ita,1968,13000
ita,1969,14000
ita,1970,13000
ita,1971,12700
ita,1972,12600
ita,1973,12600
ita,1974,13000
ita,1975,11900
ita,1976,11900
ita,1977,11700
ita,1978,11700
ita,1979,14100
ita,1980,21551
ita,1981,22610
ita,1982,22881
ita,1983,22081
ita,1984,21501
ita,1985,22402
ita,1986,21515
ita,1987,20426
