origin,time,displaced_population
dma,2008,79
dma,2009,75
dma,2010,70
dma,2011,62
dma,2012,66
dma,2013,62
dma,2014,55
dma,2015,125
dma,2016,147
dma,2017,83
dma,2018,92
dnk,1994,11
dnk,1995,18
dnk,1996,34
dnk,1997,33
dnk,1998,28
dnk,1999,25
dnk,2000,29
dnk,2001,4
dnk,2002,17
dnk,2003,16
dnk,2004,16
dnk,2005,19
dnk,2006,19
dnk,2007,16
dnk,2008,18
dnk,2009,11
dnk,2010,13
dnk,2011,12
dnk,2012,10
dnk,2013,18
dnk,2014,20
dnk,2015,20
dnk,2016,10
dnk,2017,16
dnk,2018,37
dom,1978,50
dom,1980,1
dom,1981,1
dom,1982,1
dom,1983,1
dom,1984,1
dom,1985,1
dom,1986,1
dom,1993,1
dom,1994,29
dom,1995,30
dom,1996,29
dom,1997,47
dom,1998,42
dom,1999,45
dom,2000,97
dom,2001,172
dom,2002,227
dom,2003,217
dom,2004,246
dom,2005,146
dom,2006,273
dom,2007,493
dom,2008,588
dom,2009,637
dom,2010,642
dom,2011,603
dom,2012,647
dom,2013,1156
dom,2014,1497
dom,2015,2092
dom,2016,2711
dom,2017,3567
dom,2018,3862
dza,1980,2
dza,1981,3
dza,1982,3
dza,1983,3
dza,1984,3
dza,1985,3
dza,1986,1
dza,1987,1
dza,1988,5
dza,1989,6
dza,1990,19
dza,1991,55
dza,1992,71
dza,1993,87
dza,1994,20743
dza,1995,1520
dza,1996,2317
dza,1997,3418
dza,1998,5738
dza,1999,7152
dza,2000,10367
dza,2001,11171
dza,2002,14487
dza,2003,13603
dza,2004,12022
dza,2005,13433
dza,2006,9897
dza,2007,11972
dza,2008,10596
dza,2009,9732
dza,2010,8405
dza,2011,8308
dza,2012,8147
dza,2013,7966
dza,2014,9074
dza,2015,11124
dza,2016,10900
dza,2017,10422
dza,2018,11586
ecu,1990,3
ecu,1991,27
ecu,1992,40
ecu,1993,47
ecu,1994,174
ecu,1995,206
ecu,1996,222
ecu,1997,217
ecu,1998,512
ecu,1999,496
ecu,2000,942
ecu,2001,1097
ecu,2002,1658
ecu,2003,1432
ecu,2004,1221
ecu,2005,1062
ecu,2006,1157
ecu,2007,1614
ecu,2008,1310
ecu,2009,1308
ecu,2010,1061
ecu,2011,1168
ecu,2012,1361
ecu,2013,3051
ecu,2014,7774
ecu,2015,11427
ecu,2016,14745
ecu,2017,18568
ecu,2018,19130
egy,1978,50
egy,1980,2
egy,1981,4
egy,1982,5
egy,1983,6
egy,1984,6
egy,1985,7
egy,1986,8
egy,1987,8
egy,1988,14
egy,1989,13
egy,1990,48
egy,1991,97
egy,1992,209
egy,1993,258
egy,1994,502
egy,1995,872
egy,1996,1207
egy,1997,1722
egy,1998,2612
egy,1999,3491
egy,2000,5113
egy,2001,6123
egy,2002,8277
egy,2003,7760
egy,2004,7623
egy,2005,8620
egy,2006,9309
egy,2007,8431
egy,2008,8608
egy,2009,8629
egy,2010,8501
egy,2011,10562
egy,2012,14154
egy,2013,22297
egy,2014,27002
egy,2015,30162
egy,2016,32957
egy,2017,36679
egy,2018,41596
eri,1979,400
eri,1980,542
eri,1981,1842
eri,1982,1585
eri,1983,1385
eri,1984,1385
eri,1985,1385
eri,1986,177
eri,1987,167
eri,1988,133
eri,1989,43
eri,1990,43
eri,1991,500633
eri,1992,573200
eri,1993,427213
eri,1994,431209
eri,1995,308200
eri,1996,333582
eri,1997,323177
eri,1998,353141
eri,1999,348654
eri,2000,1530431
eri,2001,368832
eri,2002,363694
eri,2003,159134
eri,2004,181258
eri,2005,184213
eri,2006,198833
eri,2007,220957
eri,2008,201744
eri,2009,223570
eri,2010,236059
eri,2011,266572
eri,2012,305998
eri,2013,337256
eri,2014,416996
eri,2015,469793
eri,2016,523770
eri,2017,565087
eri,2018,586148
esh,1975,20000
esh,1976,35000
esh,1977,50000
esh,1978,50000
esh,1979,50000
esh,1980,50000
esh,1981,165000
esh,1982,165000
esh,1983,165000
esh,1984,165000
esh,1985,165000
esh,1986,165000
esh,1987,165000
esh,1988,165000
esh,1989,167190
esh,1990,165000
esh,1991,165000
esh,1992,165000
esh,1993,165000
esh,1994,166493
esh,1995,165000
esh,1996,166328
esh,1997,166099
esh,1998,165968
esh,1999,192284
esh,2000,191814
esh,2001,191913
esh,2002,191889
esh,2003,191749
esh,2004,191752
esh,2005,116676
esh,2006,116642
esh,2007,116623
esh,2008,116561
esh,2009,116495
esh,2010,116449
esh,2011,116427
esh,2012,116578
esh,2013,116915
esh,2014,117662
esh,2015,117993
esh,2016,118654
esh,2017,118597
esh,2018,118585
esp,1970,680
esp,1971,670
esp,1972,650
esp,1973,390
esp,1974,210
esp,1975,140
esp,1976,510
esp,1980,5
esp,1981,3
esp,1982,52
esp,1983,602
esp,1984,62
esp,1985,62
esp,1986,1
esp,1987,60
esp,1994,42
esp,1995,36
esp,1996,218
esp,1997,215
esp,1998,60
esp,1999,53
esp,2000,104
esp,2001,66
esp,2002,86
esp,2003,93
esp,2004,80
esp,2005,76
esp,2006,2464
esp,2007,56
esp,2008,50
esp,2009,87
esp,2010,112
esp,2011,129
esp,2012,142
esp,2013,131
esp,2014,135
esp,2015,147
esp,2016,168
esp,2017,236
esp,2018,264
est,1991,2
est,1992,59
est,1993,95
est,1994,297
est,1995,351
est,1996,1316
est,1997,1266
est,1998,1329
est,1999,633
est,2000,533
est,2001,578
est,2002,1220
est,2003,1214
est,2004,1004
est,2005,878
est,2006,753
est,2007,321
est,2008,286
est,2009,288
est,2010,258
est,2011,264
est,2012,485
est,2013,379
est,2014,372
est,2015,365
est,2016,352
est,2017,321
est,2018,313
eth,1967,28600
eth,1968,31000
eth,1969,31000
eth,1970,54350
eth,1971,55200
eth,1972,52730
eth,1973,46300
eth,1974,49200
eth,1975,91410
eth,1976,105700
eth,1977,656500
eth,1978,896640
eth,1979,1644770
eth,1980,2577998
eth,1981,1389686
eth,1982,1414915
eth,1983,1434377
eth,1984,1832734
eth,1985,1865629
eth,1986,1748408
eth,1987,1547233
eth,1988,1520387
eth,1989,1481219
eth,1990,1345928
eth,1991,305081
eth,1992,325124
eth,1993,308442
eth,1994,266101
eth,1995,136140
eth,1996,124271
eth,1997,94435
eth,1998,84835
eth,1999,72922
eth,2000,84145
eth,2001,82108
eth,2002,70518
eth,2003,73530
eth,2004,76281
eth,2005,81848
eth,2006,90738
eth,2007,89368
eth,2008,95553
eth,2009,111645
eth,2010,117736
eth,2011,109473
eth,2012,121687
eth,2013,129729
eth,2014,149191
eth,2015,162777
eth,2016,162712
eth,2017,1303753
eth,2018,2845456
fin,1995,1
fin,1996,1
fin,1997,2
fin,1998,6
fin,1999,6
fin,2000,10
fin,2001,10
fin,2002,17
fin,2003,12
fin,2004,6
fin,2005,11
fin,2006,8
fin,2007,4
fin,2008,4
fin,2009,8
fin,2010,8
fin,2011,11
fin,2012,13
fin,2013,12
fin,2014,8
fin,2015,10
fin,2016,11
fin,2017,8
fin,2018,5
fji,1990,1
fji,1991,1
fji,1992,19
fji,1993,89
fji,1994,156
fji,1995,222
fji,1996,305
fji,1997,326
fji,1998,301
fji,1999,328
fji,2000,2062
fji,2001,2649
fji,2002,2576
fji,2003,2109
fji,2004,1803
fji,2005,1752
fji,2006,1941
fji,2007,2021
fji,2008,2069
fji,2009,2252
fji,2010,2151
fji,2011,1839
fji,2012,1585
fji,2013,1572
fji,2014,1691
fji,2015,1313
fji,2016,1306
fji,2017,1412
fji,2018,1972
fra,1994,20
fra,1995,15
fra,1996,44
fra,1997,61
fra,1998,64
fra,1999,63
fra,2000,126
fra,2001,105
fra,2002,171
fra,2003,182
fra,2004,169
fra,2005,342
fra,2006,124
fra,2007,154
fra,2008,159
fra,2009,165
fra,2010,136
fra,2011,153
fra,2012,149
fra,2013,154
fra,2014,140
fra,2015,178
fra,2016,175
fra,2017,181
fra,2018,269
fsm,2002,5
fsm,2003,4
fsm,2004,3
fsm,2005,1
fsm,2015,6
gab,1992,17
gab,1993,18
gab,1994,22
gab,1995,25
gab,1996,24
gab,1997,19
gab,1998,28
gab,1999,26
gab,2000,49
gab,2001,78
gab,2002,87
gab,2003,74
gab,2004,80
gab,2005,138
gab,2006,135
gab,2007,141
gab,2008,162
gab,2009,192
gab,2010,206
gab,2011,224
gab,2012,249
gab,2013,282
gab,2014,313
gab,2015,415
gab,2016,614
gab,2017,888
gab,2018,1059
gbr,1990,1
gbr,1991,1
gbr,1992,1
gbr,1993,2
gbr,1994,108
gbr,1995,77
gbr,1996,73
gbr,1997,79
gbr,1998,92
gbr,1999,106
gbr,2000,184
gbr,2001,190
gbr,2002,241
gbr,2003,216
gbr,2004,191
gbr,2005,198
gbr,2006,223
gbr,2007,239
gbr,2008,213
gbr,2009,205
gbr,2010,199
gbr,2011,199
gbr,2012,201
gbr,2013,212
gbr,2014,227
gbr,2015,248
gbr,2016,190
gbr,2017,232
gbr,2018,263
geo,1993,266012
geo,1994,286118
geo,1995,277208
geo,1996,320848
geo,1997,320550
geo,1998,315479
geo,1999,309269
geo,2000,297962
geo,2001,287101
geo,2002,284414
geo,2003,279128
geo,2004,249818
geo,2005,247809
geo,2006,322774
geo,2007,289069
geo,2008,450354
geo,2009,377692
geo,2010,377554
geo,2011,287062
geo,2012,293622
geo,2013,275961
geo,2014,277717
geo,2015,284164
geo,2016,290457
geo,2017,301064
geo,2018,310318
gha,1961,5000
gha,1962,5000
gha,1963,5000
gha,1964,5000
gha,1965,5000
gha,1966,5000
gha,1980,2
gha,1981,2
gha,1982,312
gha,1983,1958
gha,1984,2202
gha,1985,3195
gha,1986,2819
gha,1987,3916
gha,1988,4769
gha,1989,4716
gha,1990,4691
gha,1991,4701
gha,1992,4781
gha,1993,4488
gha,1994,188702
gha,1995,13594
gha,1996,15103
gha,1997,14775
gha,1998,14710
gha,1999,13295
gha,2000,15761
gha,2001,15702
gha,2002,16844
gha,2003,17550
gha,2004,16443
gha,2005,20785
gha,2006,11116
gha,2007,6717
gha,2008,15258
gha,2009,16241
gha,2010,22227
gha,2011,22875
gha,2012,27790
gha,2013,26072
gha,2014,29850
gha,2015,33705
gha,2016,27091
gha,2017,34444
gha,2018,30556
gib,2002,4
gib,2003,2
gib,2007,1
gib,2008,1
gib,2009,1
gib,2010,2
gib,2011,2
gib,2012,2
gib,2013,2
gib,2014,2
gib,2015,2
gib,2016,1
gin,1971,300
gin,1975,300000
gin,1976,500000
gin,1977,3000
gin,1982,50
gin,1984,70
gin,1986,50
gin,1987,50
gin,1988,50
gin,1989,50
gin,1990,50
gin,1991,2
gin,1992,19
gin,1993,31
gin,1994,106
gin,1995,441
gin,1996,524
gin,1997,648
gin,1998,924
gin,1999,1151
gin,2000,4023
gin,2001,5877
gin,2002,7244
gin,2003,7045
gin,2004,7276
gin,2005,9100
gin,2006,9508
gin,2007,10213
gin,2008,11517
gin,2009,13749
gin,2010,14768
gin,2011,17827
gin,2012,23597
gin,2013,26197
gin,2014,33194
gin,2015,34863
gin,2016,41946
gin,2017,54842
gin,2018,56486
glp,2014,12
glp,2015,23
glp,2017,37
glp,2018,11
gmb,1988,1
gmb,1989,1
gmb,1990,4
gmb,1991,15
gmb,1992,24
gmb,1993,26
gmb,1994,30
gmb,1995,161
gmb,1996,315
gmb,1997,421
gmb,1998,571
gmb,1999,677
gmb,2000,1035
gmb,2001,1045
gmb,2002,1152
gmb,2003,1092
gmb,2004,1134
gmb,2005,2345
gmb,2006,2278
gmb,2007,2266
gmb,2008,2489
gmb,2009,3138
gmb,2010,3299
gmb,2011,3780
gmb,2012,4850
gmb,2013,7223
gmb,2014,15772
gmb,2015,21321
gmb,2016,30507
gmb,2017,36792
gmb,2018,31211
gnb,1963,6000
gnb,1964,30000
gnb,1965,50000
gnb,1966,61050
gnb,1967,61620
gnb,1968,61420
gnb,1969,67800
gnb,1970,67800
gnb,1971,80000
gnb,1972,82050
gnb,1973,84000
gnb,1974,90000
gnb,1975,87240
gnb,1976,46000
gnb,1977,5000
gnb,1978,5000
gnb,1979,5000
gnb,1980,5002
gnb,1981,4002
gnb,1982,5002
gnb,1983,5002
gnb,1984,5012
gnb,1985,5352
gnb,1986,5354
gnb,1987,5002
gnb,1988,5001
gnb,1989,5004
gnb,1990,5003
gnb,1991,5006
gnb,1992,5008
gnb,1993,5011
gnb,1994,5015
gnb,1995,830
gnb,1996,856
gnb,1997,868
gnb,1998,204437
gnb,1999,223461
gnb,2000,2464
gnb,2001,1668
gnb,2002,1269
gnb,2003,1210
gnb,2004,1222
gnb,2005,1300
gnb,2006,1312
gnb,2007,1290
gnb,2008,1342
gnb,2009,1447
gnb,2010,1478
gnb,2011,1628
gnb,2012,2091
gnb,2013,2435
gnb,2014,3115
gnb,2015,3409
gnb,2016,3535
gnb,2017,5360
gnb,2018,4859
gnq,1974,1000
gnq,1975,90000
gnq,1976,90000
gnq,1977,120000
gnq,1978,90000
gnq,1979,70250
gnq,1980,48001
gnq,1981,18001
gnq,1982,18001
gnq,1983,1
gnq,1984,1
gnq,1985,1
gnq,1991,60
gnq,1992,114
gnq,1993,221
gnq,1994,342
gnq,1995,343
gnq,1996,398
gnq,1997,473
gnq,1998,421
gnq,1999,429
gnq,2000,551
gnq,2001,571
gnq,2002,619
gnq,2003,654
gnq,2004,606
gnq,2005,536
gnq,2006,493
gnq,2007,441
gnq,2008,431
gnq,2009,384
gnq,2010,384
gnq,2011,308
gnq,2012,314
gnq,2013,275
gnq,2014,269
gnq,2015,244
gnq,2016,247
gnq,2017,224
gnq,2018,290
grc,1965,17690
grc,1966,7090
grc,1967,23420
grc,1968,21820
grc,1969,21590
grc,1970,21290
grc,1971,1480
grc,1972,6610
grc,1973,5900
grc,1974,580
grc,1975,510
grc,1976,450
grc,1977,410
grc,1978,380
grc,1979,360
grc,1980,340
grc,1981,320
grc,1982,300
grc,1983,280
grc,1984,260
grc,1988,6
grc,1989,6
grc,1990,16
grc,1991,6
grc,1992,1
grc,1993,1
grc,1994,94
grc,1995,222
grc,1996,250
grc,1997,178
grc,1998,174
grc,1999,164
grc,2000,153
grc,2001,148
grc,2002,340
grc,2003,314
grc,2004,257
grc,2005,374
grc,2006,114
grc,2007,104
grc,2008,83
grc,2009,83
grc,2010,88
grc,2011,93
grc,2012,176
grc,2013,197
grc,2014,169
grc,2015,181
grc,2016,192
grc,2017,190
grc,2018,223
grd,1988,9
grd,1989,5
grd,1990,4
grd,1991,4
grd,1992,1
grd,1994,3
grd,1995,6
grd,1996,11
grd,1997,12
grd,1998,20
grd,1999,36
grd,2000,115
grd,2001,230
grd,2002,448
grd,2003,337
grd,2004,223
grd,2005,255
grd,2006,245
grd,2007,363
grd,2008,378
grd,2009,423
grd,2010,409
grd,2011,370
grd,2012,364
grd,2013,372
grd,2014,376
grd,2015,322
grd,2016,166
grd,2017,165
grd,2018,156
gtm,1980,750
gtm,1981,1910
gtm,1982,36490
gtm,1983,41800
gtm,1984,47880
gtm,1985,52890
gtm,1986,52800
gtm,1987,53840
gtm,1988,55653
gtm,1989,46623
gtm,1990,48908
gtm,1991,54337
gtm,1992,55961
gtm,1993,55360
gtm,1994,63759
gtm,1995,66137
gtm,1996,56000
gtm,1997,42731
gtm,1998,36662
gtm,1999,30118
gtm,2000,125936
gtm,2001,116409
gtm,2002,110002
gtm,2003,95321
gtm,2004,63027
gtm,2005,35229
gtm,2006,27029
gtm,2007,21159
gtm,2008,16187
gtm,2009,14881
gtm,2010,6708
gtm,2011,7198
gtm,2012,7720
gtm,2013,15057
gtm,2014,23290
gtm,2015,40738
gtm,2016,58781
gtm,2017,88989
gtm,2018,106001
guf,1992,5
guf,1993,5
guf,1994,5
guf,1995,5
guf,1996,5
guf,1997,5
guf,1998,5
guf,1999,5
guf,2007,1
guf,2008,1
guf,2009,2
guf,2010,1
guf,2016,1
guf,2017,10
guf,2018,23
guy,1988,2
guy,1989,2
guy,1990,2
guy,1991,1
guy,1992,2
guy,1993,4
guy,1994,71
guy,1995,62
guy,1996,55
guy,1997,38
guy,1998,41
guy,1999,49
guy,2000,239
guy,2001,417
guy,2002,1125
guy,2003,1378
guy,2004,861
guy,2005,793
guy,2006,835
guy,2007,917
guy,2008,984
guy,2009,1052
guy,2010,920
guy,2011,877
guy,2012,879
guy,2013,940
guy,2014,845
guy,2015,738
guy,2016,572
guy,2017,727
guy,2018,824
hkg,1992,2
hkg,1993,2
hkg,1994,261
hkg,1995,205
hkg,1996,105
hkg,1997,50
hkg,1998,42
hkg,1999,20
hkg,2000,23
hkg,2001,29
hkg,2002,24
hkg,2003,30
hkg,2004,20
hkg,2005,17
hkg,2006,29
hkg,2007,38
hkg,2008,63
hkg,2009,81
hkg,2010,100
hkg,2011,21
hkg,2012,86
hkg,2013,79
hkg,2014,64
hkg,2015,112
hkg,2016,124
hkg,2017,110
hkg,2018,29
hnd,1986,101
hnd,1987,1
hnd,1988,1
hnd,1989,5
hnd,1990,18
hnd,1991,21
hnd,1992,41
hnd,1993,459
hnd,1994,1240
hnd,1995,1219
hnd,1996,1288
hnd,1997,1246
hnd,1998,1103
hnd,1999,1071
hnd,2000,6228
hnd,2001,1939
hnd,2002,1922
hnd,2003,1810
hnd,2004,1751
hnd,2005,1762
hnd,2006,2393
hnd,2007,1909
hnd,2008,2059
hnd,2009,2166
hnd,2010,2117
hnd,2011,2814
hnd,2012,3424
hnd,2013,8593
hnd,2014,14307
hnd,2015,205406
hnd,2016,224510
hnd,2017,251389
hnd,2018,315760
hos,2004,2
hos,2007,3
hos,2008,3
hrv,1992,197931
hrv,1993,495688
hrv,1994,383256
hrv,1995,443782
hrv,1996,454594
hrv,1997,444903
hrv,1998,460814
hrv,1999,440307
hrv,2000,404209
hrv,2001,336628
hrv,2002,316029
hrv,2003,257492
hrv,2004,235870
hrv,2005,132163
hrv,2006,103425
hrv,2007,106660
hrv,2008,129253
hrv,2009,103409
hrv,2010,89416
hrv,2011,85408
hrv,2012,84617
hrv,2013,68127
hrv,2014,56280
hrv,2015,47724
hrv,2016,41142
hrv,2017,33182
hrv,2018,28545
hti,1974,1000
hti,1978,300
hti,1979,3300
hti,1980,3800
hti,1981,5000
hti,1982,5000
hti,1983,5230
hti,1984,5440
hti,1985,6100
hti,1986,6140
hti,1987,7150
hti,1988,5369
hti,1989,3834
hti,1990,2242
hti,1991,2358
hti,1992,7786
hti,1993,5824
hti,1994,11074
hti,1995,14575
hti,1996,15490
hti,1997,15481
hti,1998,13540
hti,1999,8773
hti,2000,27306
hti,2001,29211
hti,2002,29905
hti,2003,25906
hti,2004,25483
hti,2005,27061
hti,2006,31378
hti,2007,32539
hti,2008,35737
hti,2009,36015
hti,2010,33097
hti,2011,41131
hti,2012,46777
hti,2013,56142
hti,2014,73129
hti,2015,50310
hti,2016,75073
hti,2017,109289
hti,2018,68471
hun,1965,3270
hun,1966,3270
hun,1967,3270
hun,1968,3270
hun,1969,3360
hun,1970,3490
hun,1971,220
hun,1972,210
hun,1973,170
hun,1974,150
hun,1975,140
hun,1976,50
hun,1978,120
hun,1980,763
hun,1981,744
hun,1982,728
hun,1983,607
hun,1984,430
hun,1985,435
hun,1986,381
hun,1987,329
hun,1988,3887
hun,1989,4359
hun,1990,5767
hun,1991,4733
hun,1992,3993
hun,1993,5016
hun,1994,4471
hun,1995,2348
hun,1996,3087
hun,1997,2669
hun,1998,1242
hun,1999,800
hun,2000,2480
hun,2001,5103
hun,2002,6642
hun,2003,4405
hun,2004,3348
hun,2005,3776
hun,2006,3318
hun,2007,3484
hun,2008,1908
hun,2009,3992
hun,2010,4996
hun,2011,7250
hun,2012,4821
hun,2013,3183
hun,2014,1611
hun,2015,2152
hun,2016,4575
hun,2017,4981
hun,2018,4712
idn,1978,1000
idn,1979,1000
idn,1980,1000
idn,1981,150
idn,1982,2200
idn,1983,2080
idn,1984,11130
idn,1985,11870
idn,1986,12470
idn,1987,11010
idn,1988,9751
idn,1989,7856
idn,1990,8159
idn,1991,6704
idn,1992,6829
idn,1993,8156
idn,1994,8912
idn,1995,9836
idn,1996,11390
idn,1997,8799
idn,1998,9053
idn,1999,9028
idn,2000,13576
idn,2001,13572
idn,2002,15228
idn,2003,39937
idn,2004,49875
idn,2005,39241
idn,2006,38001
idn,2007,22911
idn,2008,21571
idn,2009,20536
idn,2010,17348
idn,2011,16460
idn,2012,16061
idn,2013,15916
idn,2014,16183
idn,2015,16611
idn,2016,16653
idn,2017,17845
idn,2018,15515
ind,1971,2034310
ind,1972,9799410
ind,1988,8
ind,1989,13
ind,1990,198
ind,1991,408
ind,1992,1019
ind,1993,1492
ind,1994,3263
ind,1995,5011
ind,1996,7552
ind,1997,8924
ind,1998,9668
ind,1999,9845
ind,2000,21215
ind,2001,21326
ind,2002,25406
ind,2003,25180
ind,2004,25065
ind,2005,28480
ind,2006,24567
ind,2007,27547
ind,2008,26445
ind,2009,24236
ind,2010,22060
ind,2011,20985
ind,2012,21368
ind,2013,23934
ind,2014,28093
ind,2015,35140
ind,2016,35337
ind,2017,48474
ind,2018,61549
irl,1994,3
irl,1995,2
irl,1996,2
irl,1997,1
irl,2000,7
irl,2001,10
irl,2002,12
irl,2003,16
irl,2004,12
irl,2005,25
irl,2006,8
irl,2007,14
irl,2008,10
irl,2009,12
irl,2010,15
irl,2011,18
irl,2012,26
irl,2013,46
irl,2014,97
irl,2015,51
irl,2016,46
irl,2017,52
irl,2018,57
irn,1980,48
irn,1981,803
irn,1982,2590
irn,1983,6037
irn,1984,5514
irn,1985,91045
irn,1986,88201
irn,1987,11092
irn,1988,59359
irn,1989,53658
irn,1990,76209
irn,1991,130746
irn,1992,131458
irn,1993,115594
irn,1994,121352
irn,1995,112394
irn,1996,107627
irn,1997,93993
irn,1998,90041
irn,1999,86864
irn,2000,108973
irn,2001,106641
irn,2002,152744
irn,2003,137747
irn,2004,125403
irn,2005,112391
irn,2006,116298
irn,2007,78774
irn,2008,80316
irn,2009,86526
irn,2010,84878
irn,2011,90826
irn,2012,100002
irn,2013,103899
irn,2014,118066
irn,2015,142057
irn,2016,181869
irn,2017,196409
irn,2018,217338
irq,1968,2700
irq,1969,2700
irq,1978,560
irq,1979,31000
irq,1980,31098
irq,1981,66589
irq,1982,103766
irq,1983,103721
irq,1984,101724
irq,1985,401593
irq,1986,400745
irq,1987,410818
irq,1988,552468
irq,1989,508266
irq,1990,1133995
irq,1991,2658665
irq,1992,1361625
irq,1993,771090
irq,1994,753488
irq,1995,736748
irq,1996,828276
irq,1997,795831
irq,1998,702141
irq,1999,680240
irq,2000,583546
irq,2001,580327
irq,2002,466422
irq,2003,474100
irq,2004,552664
irq,2005,1765170
irq,2006,3518949
irq,2007,4804243
irq,2008,4805745
irq,2009,3572081
irq,2010,3387479
irq,2011,3053104
irq,2012,2203343
irq,2013,1522906
irq,2014,4105397
irq,2015,4915826
irq,2016,5611595
irq,2017,4809798
irq,2018,3384753
isl,1996,4
isl,1997,5
isl,1998,5
isl,1999,5
isl,2000,6
isl,2002,13
isl,2003,15
isl,2004,16
isl,2005,9
isl,2006,33
isl,2007,7
isl,2008,7
isl,2009,5
isl,2010,6
isl,2011,4
isl,2012,5
isl,2013,5
isl,2014,5
isl,2015,3
isl,2016,3
isr,1988,4
isr,1989,4
isr,1990,16
isr,1991,28
isr,1992,40
isr,1993,118
isr,1994,887
isr,1995,938
isr,1996,1131
isr,1997,987
isr,1998,835
isr,1999,478
isr,2000,776
isr,2001,976
isr,2002,1588
isr,2003,1575
isr,2004,1442
isr,2005,1258
isr,2006,1827
isr,2007,2489
isr,2008,2531
isr,2009,2372
isr,2010,2100
isr,2011,1851
isr,2012,1758
isr,2013,1340
isr,2014,1268
isr,2015,1193
isr,2016,1045
isr,2017,1159
isr,2018,1155
ita,1992,1
ita,1993,3
ita,1994,146
ita,1995,121
ita,1996,112
ita,1997,112
ita,1998,79
ita,1999,52
ita,2000,84
ita,2001,65
ita,2002,259
ita,2003,239
ita,2004,219
ita,2005,240
ita,2006,122
ita,2007,104
ita,2008,96
ita,2009,79
ita,2010,104
ita,2011,99
ita,2012,130
ita,2013,145
ita,2014,179
ita,2015,217
ita,2016,196
ita,2017,321
ita,2018,425
jam,1993,4
jam,1994,7
jam,1995,10
jam,1996,18
jam,1997,21
jam,1998,27
jam,1999,33
jam,2000,212
jam,2001,322
jam,2002,627
jam,2003,671
jam,2004,638
jam,2005,779
jam,2006,933
jam,2007,1010
jam,2008,1230
jam,2009,1491
jam,2010,1619
jam,2011,1839
jam,2012,1912
jam,2013,2142
jam,2014,2302
jam,2015,2705
jam,2016,3149
jam,2017,3639
jam,2018,3920
jor,1983,2
jor,1984,3
jor,1985,103
jor,1986,3
jor,1987,4
jor,1988,8
jor,1989,15
jor,1990,55
jor,1991,112
jor,1992,183
jor,1993,242
jor,1994,443
jor,1995,544
jor,1996,708
jor,1997,719
jor,1998,899
jor,1999,973
jor,2000,1512
jor,2001,1341
jor,2002,2020
jor,2003,1891
jor,2004,1892
jor,2005,2459
jor,2006,2377
jor,2007,2531
jor,2008,2650
jor,2009,2901
jor,2010,2876
jor,2011,2786
jor,2012,3003
jor,2013,2650
jor,2014,3155
jor,2015,3783
jor,2016,4502
jor,2017,5628
jor,2018,7929
jpn,1994,7
jpn,1995,3
jpn,1996,2
jpn,1997,2
jpn,1998,3
jpn,1999,3
jpn,2000,18
jpn,2001,30
jpn,2002,46
jpn,2003,43
jpn,2004,92
jpn,2005,69
jpn,2006,199
jpn,2007,543
jpn,2008,217
jpn,2009,182
jpn,2010,160
jpn,2011,218
jpn,2012,218
jpn,2013,210
jpn,2014,326
jpn,2015,213
jpn,2016,140
jpn,2017,141
jpn,2018,144
kaz,1992,1
kaz,1993,2
kaz,1994,27
kaz,1995,139
kaz,1996,40163
kaz,1997,50774
kaz,1998,37124
kaz,1999,18789
kaz,2000,3285
kaz,2001,3679
kaz,2002,7247
kaz,2003,7453
kaz,2004,6782
kaz,2005,4924
kaz,2006,8036
kaz,2007,5784
kaz,2008,5411
kaz,2009,4348
kaz,2010,4378
kaz,2011,4248
kaz,2012,4491
kaz,2013,3269
kaz,2014,3478
kaz,2015,3836
kaz,2016,4601
kaz,2017,5899
kaz,2018,8331
ken,1975,90
ken,1977,1200
ken,1978,80
ken,1979,80
ken,1988,2
ken,1989,2
ken,1990,10
ken,1991,33
ken,1992,68
ken,1993,86
ken,1994,8774
ken,1995,9330
ken,1996,9394
ken,1997,9583
ken,1998,6056
ken,1999,6138
ken,2000,8109
ken,2001,3281
ken,2002,13276
ken,2003,14141
ken,2004,15067
ken,2005,16084
ken,2006,6447
ken,2007,9277
ken,2008,762617
ken,2009,417052
ken,2010,310595
ken,2011,310417
ken,2012,422499
ken,2013,10796
ken,2014,11535
ken,2015,12434
ken,2016,11112
ken,2017,13274
ken,2018,14735
kgz,1993,1
kgz,1994,14
kgz,1995,22
kgz,1996,17118
kgz,1997,16320
kgz,1998,8844
kgz,1999,9572
kgz,2000,6638
kgz,2001,1073
kgz,2002,3487
kgz,2003,3752
kgz,2004,3755
kgz,2005,3493
kgz,2006,3071
kgz,2007,2694
kgz,2008,2924
kgz,2009,3049
kgz,2010,284319
kgz,2011,176730
kgz,2012,176691
kgz,2013,3588
kgz,2014,4360
kgz,2015,4776
kgz,2016,4943
kgz,2017,5319
kgz,2018,5643
khm,1971,57000
khm,1972,55000
khm,1973,35000
khm,1975,18910
khm,1976,17200
khm,1977,76710
khm,1978,165120
khm,1979,171100
khm,1980,387783
khm,1981,145577
khm,1982,123398
khm,1983,93355
khm,1984,72468
khm,1985,143198
khm,1986,54848
khm,1987,56589
khm,1988,98118
khm,1989,76395
khm,1990,54364
khm,1991,43238
khm,1992,37701
khm,1993,14970
khm,1994,132678
khm,1995,111078
khm,1996,92019
khm,1997,144520
khm,1998,83727
khm,1999,74485
khm,2000,37158
